NodeA	NodeB	TCGA_A7_A0CE	TCGA_A7_A0CH	TCGA_A7_A0D9	TCGA_A7_A0DB	TCGA_A7_A13E	TCGA_A7_A13F	TCGA_A7_A13G	TCGA_AC_A23H	TCGA_AC_A2FB	TCGA_AC_A2FF	TCGA_AC_A2FM	TCGA_BH_A0AU	TCGA_BH_A0AY	TCGA_BH_A0AZ	TCGA_BH_A0B3	TCGA_BH_A0B5	TCGA_BH_A0B7	TCGA_BH_A0BA	TCGA_BH_A0BC	TCGA_BH_A0BJ	TCGA_BH_A0BM	TCGA_BH_A0BQ	TCGA_BH_A0BS	TCGA_BH_A0BV	TCGA_BH_A0BW	TCGA_BH_A0BZ	TCGA_BH_A0C0	TCGA_BH_A0C3	TCGA_BH_A0DD	TCGA_BH_A0DG	TCGA_BH_A0DH	TCGA_BH_A0DK	TCGA_BH_A0DL	TCGA_BH_A0DO	TCGA_BH_A0DP	TCGA_BH_A0DQ	TCGA_BH_A0DT	TCGA_BH_A0DV	TCGA_BH_A0DZ	TCGA_BH_A0E0	TCGA_BH_A0E1	TCGA_BH_A0H5	TCGA_BH_A0H7	TCGA_BH_A0H9	TCGA_BH_A0HA	TCGA_BH_A0HK	TCGA_BH_A18J	TCGA_BH_A18L	TCGA_BH_A18M	TCGA_BH_A18N	TCGA_BH_A18P	TCGA_BH_A18Q	TCGA_BH_A18R	TCGA_BH_A18S	TCGA_BH_A18U	TCGA_BH_A18V	TCGA_BH_A1EN	TCGA_BH_A1EO	TCGA_BH_A1ET	TCGA_BH_A1EU	TCGA_BH_A1EV	TCGA_BH_A1EW	TCGA_BH_A1F0	TCGA_BH_A1F2	TCGA_BH_A1F6	TCGA_BH_A1F8	TCGA_BH_A1FC	TCGA_BH_A1FE	TCGA_BH_A1FG	TCGA_BH_A1FH	TCGA_BH_A1FJ	TCGA_BH_A1FM	TCGA_BH_A1FN	TCGA_BH_A1FR	TCGA_BH_A1FU	TCGA_BH_A203	TCGA_BH_A204	TCGA_BH_A208	TCGA_BH_A209	TCGA_E2_A153	TCGA_E2_A158	TCGA_E2_A15I	TCGA_E2_A15K	TCGA_E2_A15M	TCGA_E2_A1BC	TCGA_E2_A1IG	TCGA_E2_A1L7	TCGA_E2_A1LB	TCGA_E2_A1LH	TCGA_E9_A1N4	TCGA_E9_A1N5	TCGA_E9_A1N9	TCGA_E9_A1NA	TCGA_E9_A1ND	TCGA_E9_A1NF	TCGA_E9_A1NG	TCGA_E9_A1R7	TCGA_E9_A1RB	TCGA_E9_A1RC	TCGA_E9_A1RD	TCGA_E9_A1RF	TCGA_E9_A1RH	TCGA_E9_A1RI	TCGA_GI_A2C8	TCGA_GI_A2C9
RXN_122	Pi[c]	0.3366	0.211	0.3752	0.1459	0.2628	0.5095	0.1987	0.3272	0.2183	0.1686	0.1607	0.2533	0.1207	0.2352	0.4883	0.1844	0.1372	0.1968	0.2303	0.1718	0.2271	0.1704	0.241	0.2234	0.4773	0.3641	0.3428	0.3907	0.2228	0.1824	0.274	0.3145	0.3088	0.1921	0.2632	0.2946	0.2235	0.1763	0.1757	0.3718	0.2793	0.1465	0.202	0.2709	0.1258	0.4644	0.1615	0.5859	0.2567	0.2311	0.1977	0.3617	0.235	0.2199	0.1704	0.4215	0.0816	0.2663	0.264	0.2385	0.1472	0.3297	0.5483	0.6947	0.2769	0.5842	0.1254	0.237	0.5028	0.2547	0.2775	1	0.4041	0.194	0.2637	0.2634	0.5438	0.1693	0.3692	0.2164	0.3905	0.1824	0.1794	0.2654	0.1794	0.3316	0.3432	0.1669	0.089	0.183	0.1931	0.1598	0.4179	0.46	0.3963	0.3122	0.359	0.2381	0.2042	0.2242	0.2145	0.8113	0.2444	0.1689	0.5368
RXN_122	ADP[c]	0.3366	0.211	0.3752	0.1459	0.2628	0.5095	0.1987	0.3272	0.2183	0.1686	0.1607	0.2533	0.1207	0.2352	0.4883	0.1844	0.1372	0.1968	0.2303	0.1718	0.2271	0.1704	0.241	0.2234	0.4773	0.3641	0.3428	0.3907	0.2228	0.1824	0.274	0.3145	0.3088	0.1921	0.2632	0.2946	0.2235	0.1763	0.1757	0.3718	0.2793	0.1465	0.202	0.2709	0.1258	0.4644	0.1615	0.5859	0.2567	0.2311	0.1977	0.3617	0.235	0.2199	0.1704	0.4215	0.0816	0.2663	0.264	0.2385	0.1472	0.3297	0.5483	0.6947	0.2769	0.5842	0.1254	0.237	0.5028	0.2547	0.2775	1	0.4041	0.194	0.2637	0.2634	0.5438	0.1693	0.3692	0.2164	0.3905	0.1824	0.1794	0.2654	0.1794	0.3316	0.3432	0.1669	0.089	0.183	0.1931	0.1598	0.4179	0.46	0.3963	0.3122	0.359	0.2381	0.2042	0.2242	0.2145	0.8113	0.2444	0.1689	0.5368
RXN_122	gammaglutamylcysteine[c]	0.3366	0.211	0.3752	0.1459	0.2628	0.5095	0.1987	0.3272	0.2183	0.1686	0.1607	0.2533	0.1207	0.2352	0.4883	0.1844	0.1372	0.1968	0.2303	0.1718	0.2271	0.1704	0.241	0.2234	0.4773	0.3641	0.3428	0.3907	0.2228	0.1824	0.274	0.3145	0.3088	0.1921	0.2632	0.2946	0.2235	0.1763	0.1757	0.3718	0.2793	0.1465	0.202	0.2709	0.1258	0.4644	0.1615	0.5859	0.2567	0.2311	0.1977	0.3617	0.235	0.2199	0.1704	0.4215	0.0816	0.2663	0.264	0.2385	0.1472	0.3297	0.5483	0.6947	0.2769	0.5842	0.1254	0.237	0.5028	0.2547	0.2775	1	0.4041	0.194	0.2637	0.2634	0.5438	0.1693	0.3692	0.2164	0.3905	0.1824	0.1794	0.2654	0.1794	0.3316	0.3432	0.1669	0.089	0.183	0.1931	0.1598	0.4179	0.46	0.3963	0.3122	0.359	0.2381	0.2042	0.2242	0.2145	0.8113	0.2444	0.1689	0.5368
glycine[c]	RXN_123	0.1194	0.2733	0.2385	0.2661	0.2204	0.4513	0.26	0.3952	0.2186	0.1962	0.3185	0.5484	0.2149	0.2236	0.239	0.1948	0.218	0.1986	0.2455	0.1966	0.2134	0.2611	0.4171	0.2171	0.229	0.3619	0.2836	0.3009	0.1736	0.2012	0.2577	0.2195	0.38	0.1959	0.1629	0.4043	0.2564	0.2325	0.244	0.3745	0.2731	0.2334	0.5198	1	0.3808	0.1968	0.1609	0.2862	0.2213	0.2984	0.1712	0.2962	0.1951	0.2651	0.3246	0.1053	0.2635	0.1424	0.2574	0.1827	0.2463	0.2139	0.1392	0.3021	0.2328	0.3782	0.0772	0.196	0.359	0.1344	0.247	0.248	0.1897	0.3774	0.1812	0.2506	0.1437	0.2014	0.1664	0.3341	0.0977	0.1833	0.4389	0.1391	0.235	0.2514	0.3137	0.4525	0.1661	0.1787	0.2217	0.2245	0.1864	0.2696	0.2849	0.1997	0.2526	0.2143	0.2495	0.2621	0.4979	0.7588	0.2219	0.2582	0.2043
ATP[c]	RXN_123	0.1194	0.2733	0.2385	0.2661	0.2204	0.4513	0.26	0.3952	0.2186	0.1962	0.3185	0.5484	0.2149	0.2236	0.239	0.1948	0.218	0.1986	0.2455	0.1966	0.2134	0.2611	0.4171	0.2171	0.229	0.3619	0.2836	0.3009	0.1736	0.2012	0.2577	0.2195	0.38	0.1959	0.1629	0.4043	0.2564	0.2325	0.244	0.3745	0.2731	0.2334	0.5198	1	0.3808	0.1968	0.1609	0.2862	0.2213	0.2984	0.1712	0.2962	0.1951	0.2651	0.3246	0.1053	0.2635	0.1424	0.2574	0.1827	0.2463	0.2139	0.1392	0.3021	0.2328	0.3782	0.0772	0.196	0.359	0.1344	0.247	0.248	0.1897	0.3774	0.1812	0.2506	0.1437	0.2014	0.1664	0.3341	0.0977	0.1833	0.4389	0.1391	0.235	0.2514	0.3137	0.4525	0.1661	0.1787	0.2217	0.2245	0.1864	0.2696	0.2849	0.1997	0.2526	0.2143	0.2495	0.2621	0.4979	0.7588	0.2219	0.2582	0.2043
gammaglutamylcysteine[c]	RXN_123	0.1194	0.2733	0.2385	0.2661	0.2204	0.4513	0.26	0.3952	0.2186	0.1962	0.3185	0.5484	0.2149	0.2236	0.239	0.1948	0.218	0.1986	0.2455	0.1966	0.2134	0.2611	0.4171	0.2171	0.229	0.3619	0.2836	0.3009	0.1736	0.2012	0.2577	0.2195	0.38	0.1959	0.1629	0.4043	0.2564	0.2325	0.244	0.3745	0.2731	0.2334	0.5198	1	0.3808	0.1968	0.1609	0.2862	0.2213	0.2984	0.1712	0.2962	0.1951	0.2651	0.3246	0.1053	0.2635	0.1424	0.2574	0.1827	0.2463	0.2139	0.1392	0.3021	0.2328	0.3782	0.0772	0.196	0.359	0.1344	0.247	0.248	0.1897	0.3774	0.1812	0.2506	0.1437	0.2014	0.1664	0.3341	0.0977	0.1833	0.4389	0.1391	0.235	0.2514	0.3137	0.4525	0.1661	0.1787	0.2217	0.2245	0.1864	0.2696	0.2849	0.1997	0.2526	0.2143	0.2495	0.2621	0.4979	0.7588	0.2219	0.2582	0.2043
RXN_123	Pi[c]	0.1194	0.2733	0.2385	0.2661	0.2204	0.4513	0.26	0.3952	0.2186	0.1962	0.3185	0.5484	0.2149	0.2236	0.239	0.1948	0.218	0.1986	0.2455	0.1966	0.2134	0.2611	0.4171	0.2171	0.229	0.3619	0.2836	0.3009	0.1736	0.2012	0.2577	0.2195	0.38	0.1959	0.1629	0.4043	0.2564	0.2325	0.244	0.3745	0.2731	0.2334	0.5198	1	0.3808	0.1968	0.1609	0.2862	0.2213	0.2984	0.1712	0.2962	0.1951	0.2651	0.3246	0.1053	0.2635	0.1424	0.2574	0.1827	0.2463	0.2139	0.1392	0.3021	0.2328	0.3782	0.0772	0.196	0.359	0.1344	0.247	0.248	0.1897	0.3774	0.1812	0.2506	0.1437	0.2014	0.1664	0.3341	0.0977	0.1833	0.4389	0.1391	0.235	0.2514	0.3137	0.4525	0.1661	0.1787	0.2217	0.2245	0.1864	0.2696	0.2849	0.1997	0.2526	0.2143	0.2495	0.2621	0.4979	0.7588	0.2219	0.2582	0.2043
RXN_123	ADP[c]	0.1194	0.2733	0.2385	0.2661	0.2204	0.4513	0.26	0.3952	0.2186	0.1962	0.3185	0.5484	0.2149	0.2236	0.239	0.1948	0.218	0.1986	0.2455	0.1966	0.2134	0.2611	0.4171	0.2171	0.229	0.3619	0.2836	0.3009	0.1736	0.2012	0.2577	0.2195	0.38	0.1959	0.1629	0.4043	0.2564	0.2325	0.244	0.3745	0.2731	0.2334	0.5198	1	0.3808	0.1968	0.1609	0.2862	0.2213	0.2984	0.1712	0.2962	0.1951	0.2651	0.3246	0.1053	0.2635	0.1424	0.2574	0.1827	0.2463	0.2139	0.1392	0.3021	0.2328	0.3782	0.0772	0.196	0.359	0.1344	0.247	0.248	0.1897	0.3774	0.1812	0.2506	0.1437	0.2014	0.1664	0.3341	0.0977	0.1833	0.4389	0.1391	0.235	0.2514	0.3137	0.4525	0.1661	0.1787	0.2217	0.2245	0.1864	0.2696	0.2849	0.1997	0.2526	0.2143	0.2495	0.2621	0.4979	0.7588	0.2219	0.2582	0.2043
RXN_123	GSH[c]	0.1194	0.2733	0.2385	0.2661	0.2204	0.4513	0.26	0.3952	0.2186	0.1962	0.3185	0.5484	0.2149	0.2236	0.239	0.1948	0.218	0.1986	0.2455	0.1966	0.2134	0.2611	0.4171	0.2171	0.229	0.3619	0.2836	0.3009	0.1736	0.2012	0.2577	0.2195	0.38	0.1959	0.1629	0.4043	0.2564	0.2325	0.244	0.3745	0.2731	0.2334	0.5198	1	0.3808	0.1968	0.1609	0.2862	0.2213	0.2984	0.1712	0.2962	0.1951	0.2651	0.3246	0.1053	0.2635	0.1424	0.2574	0.1827	0.2463	0.2139	0.1392	0.3021	0.2328	0.3782	0.0772	0.196	0.359	0.1344	0.247	0.248	0.1897	0.3774	0.1812	0.2506	0.1437	0.2014	0.1664	0.3341	0.0977	0.1833	0.4389	0.1391	0.235	0.2514	0.3137	0.4525	0.1661	0.1787	0.2217	0.2245	0.1864	0.2696	0.2849	0.1997	0.2526	0.2143	0.2495	0.2621	0.4979	0.7588	0.2219	0.2582	0.2043
H[m]	RXN_124	0.7459	0.1234	0.1009	0.165	0.3347	0.0857	0.0902	0.1209	0.3561	0.2909	0.0824	0.1404	0.1624	0.1332	0.4073	0.1332	0.1919	0.1353	0.1864	0.1556	0.1858	0.3027	0.1374	0.1149	0.3885	0.3321	0.3485	0.3196	0.2164	0.1403	0.1354	0.1969	0.7675	0.187	0.284	0.145	0.3995	0.1694	0.3295	0.1997	0.0961	0.5147	0.0946	0.1173	0.097	0.1554	0.1461	0.0797	0.1706	0.1144	0.135	0.5417	0.1497	0.0742	0.2686	0.505	0.1127	0.3551	0.1343	0.2912	0.1049	0.3444	0.7817	0.2377	0.6368	0.2525	0.305	0.2491	0.2732	0.1625	0.0697	0.1269	0.2985	0.0968	0.2912	0.298	0.1224	0.2079	0.3187	0.2036	0.108	0.1409	0.1182	0.3865	0.1343	0.1339	0.2278	0.0945	0.8726	0.3071	0.158	0.1595	0.1553	0.8936	0.1692	0.2402	0.1579	0.2725	0.1316	0.1151	0.2331	0.4451	0.1068	0.1479	0.5235
superoxideAnion[m]	RXN_124	0.7459	0.1234	0.1009	0.165	0.3347	0.0857	0.0902	0.1209	0.3561	0.2909	0.0824	0.1404	0.1624	0.1332	0.4073	0.1332	0.1919	0.1353	0.1864	0.1556	0.1858	0.3027	0.1374	0.1149	0.3885	0.3321	0.3485	0.3196	0.2164	0.1403	0.1354	0.1969	0.7675	0.187	0.284	0.145	0.3995	0.1694	0.3295	0.1997	0.0961	0.5147	0.0946	0.1173	0.097	0.1554	0.1461	0.0797	0.1706	0.1144	0.135	0.5417	0.1497	0.0742	0.2686	0.505	0.1127	0.3551	0.1343	0.2912	0.1049	0.3444	0.7817	0.2377	0.6368	0.2525	0.305	0.2491	0.2732	0.1625	0.0697	0.1269	0.2985	0.0968	0.2912	0.298	0.1224	0.2079	0.3187	0.2036	0.108	0.1409	0.1182	0.3865	0.1343	0.1339	0.2278	0.0945	0.8726	0.3071	0.158	0.1595	0.1553	0.8936	0.1692	0.2402	0.1579	0.2725	0.1316	0.1151	0.2331	0.4451	0.1068	0.1479	0.5235
RXN_124	O2[m]	0.7459	0.1234	0.1009	0.165	0.3347	0.0857	0.0902	0.1209	0.3561	0.2909	0.0824	0.1404	0.1624	0.1332	0.4073	0.1332	0.1919	0.1353	0.1864	0.1556	0.1858	0.3027	0.1374	0.1149	0.3885	0.3321	0.3485	0.3196	0.2164	0.1403	0.1354	0.1969	0.7675	0.187	0.284	0.145	0.3995	0.1694	0.3295	0.1997	0.0961	0.5147	0.0946	0.1173	0.097	0.1554	0.1461	0.0797	0.1706	0.1144	0.135	0.5417	0.1497	0.0742	0.2686	0.505	0.1127	0.3551	0.1343	0.2912	0.1049	0.3444	0.7817	0.2377	0.6368	0.2525	0.305	0.2491	0.2732	0.1625	0.0697	0.1269	0.2985	0.0968	0.2912	0.298	0.1224	0.2079	0.3187	0.2036	0.108	0.1409	0.1182	0.3865	0.1343	0.1339	0.2278	0.0945	0.8726	0.3071	0.158	0.1595	0.1553	0.8936	0.1692	0.2402	0.1579	0.2725	0.1316	0.1151	0.2331	0.4451	0.1068	0.1479	0.5235
RXN_124	H2O2[m]	0.7459	0.1234	0.1009	0.165	0.3347	0.0857	0.0902	0.1209	0.3561	0.2909	0.0824	0.1404	0.1624	0.1332	0.4073	0.1332	0.1919	0.1353	0.1864	0.1556	0.1858	0.3027	0.1374	0.1149	0.3885	0.3321	0.3485	0.3196	0.2164	0.1403	0.1354	0.1969	0.7675	0.187	0.284	0.145	0.3995	0.1694	0.3295	0.1997	0.0961	0.5147	0.0946	0.1173	0.097	0.1554	0.1461	0.0797	0.1706	0.1144	0.135	0.5417	0.1497	0.0742	0.2686	0.505	0.1127	0.3551	0.1343	0.2912	0.1049	0.3444	0.7817	0.2377	0.6368	0.2525	0.305	0.2491	0.2732	0.1625	0.0697	0.1269	0.2985	0.0968	0.2912	0.298	0.1224	0.2079	0.3187	0.2036	0.108	0.1409	0.1182	0.3865	0.1343	0.1339	0.2278	0.0945	0.8726	0.3071	0.158	0.1595	0.1553	0.8936	0.1692	0.2402	0.1579	0.2725	0.1316	0.1151	0.2331	0.4451	0.1068	0.1479	0.5235
H2O2[m]	RXN_125	0.2102	0.2591	0.2675	0.3166	0.1818	0.4445	0.216	0.3313	0.2591	0.2362	0.2726	0.2854	0.3094	0.2608	0.2009	0.19	0.2007	0.1727	0.3216	0.2389	0.3258	0.3359	0.2825	0.2062	0.137	0.2745	0.3288	0.3093	0.2203	0.2159	0.2767	0.2638	0.1639	0.2124	0.2298	0.2664	0.2959	0.2524	0.2749	0.2797	0.2521	0.2608	0.3081	0.3151	0.305	0.2711	0.3343	0.226	0.2353	0.2526	0.1978	0.1487	0.3127	0.2852	0.2671	0.1172	0.1819	0.2032	0.2303	0.1461	0.2071	0.1658	0.1796	0.185	0.1887	0.2013	0.1849	0.238	0.3857	0.1395	0.2442	0.2191	0.1425	0.3753	0.1395	0.329	0.3027	0.1815	0.1993	0.2674	0.0938	0.1757	0.2499	0.175	0.2029	0.2525	0.234	0.3	0.328	0.3304	0.207	0.2426	0.2719	0.1562	0.2794	0.2238	0.1568	0.2377	0.169	0.2512	0.247	0.1396	0.2126	0.253	0.232
GSH[m]	RXN_125	0.2102	0.2591	0.2675	0.3166	0.1818	0.4445	0.216	0.3313	0.2591	0.2362	0.2726	0.2854	0.3094	0.2608	0.2009	0.19	0.2007	0.1727	0.3216	0.2389	0.3258	0.3359	0.2825	0.2062	0.137	0.2745	0.3288	0.3093	0.2203	0.2159	0.2767	0.2638	0.1639	0.2124	0.2298	0.2664	0.2959	0.2524	0.2749	0.2797	0.2521	0.2608	0.3081	0.3151	0.305	0.2711	0.3343	0.226	0.2353	0.2526	0.1978	0.1487	0.3127	0.2852	0.2671	0.1172	0.1819	0.2032	0.2303	0.1461	0.2071	0.1658	0.1796	0.185	0.1887	0.2013	0.1849	0.238	0.3857	0.1395	0.2442	0.2191	0.1425	0.3753	0.1395	0.329	0.3027	0.1815	0.1993	0.2674	0.0938	0.1757	0.2499	0.175	0.2029	0.2525	0.234	0.3	0.328	0.3304	0.207	0.2426	0.2719	0.1562	0.2794	0.2238	0.1568	0.2377	0.169	0.2512	0.247	0.1396	0.2126	0.253	0.232
RXN_125	GSSG[m]	0.2102	0.2591	0.2675	0.3166	0.1818	0.4445	0.216	0.3313	0.2591	0.2362	0.2726	0.2854	0.3094	0.2608	0.2009	0.19	0.2007	0.1727	0.3216	0.2389	0.3258	0.3359	0.2825	0.2062	0.137	0.2745	0.3288	0.3093	0.2203	0.2159	0.2767	0.2638	0.1639	0.2124	0.2298	0.2664	0.2959	0.2524	0.2749	0.2797	0.2521	0.2608	0.3081	0.3151	0.305	0.2711	0.3343	0.226	0.2353	0.2526	0.1978	0.1487	0.3127	0.2852	0.2671	0.1172	0.1819	0.2032	0.2303	0.1461	0.2071	0.1658	0.1796	0.185	0.1887	0.2013	0.1849	0.238	0.3857	0.1395	0.2442	0.2191	0.1425	0.3753	0.1395	0.329	0.3027	0.1815	0.1993	0.2674	0.0938	0.1757	0.2499	0.175	0.2029	0.2525	0.234	0.3	0.328	0.3304	0.207	0.2426	0.2719	0.1562	0.2794	0.2238	0.1568	0.2377	0.169	0.2512	0.247	0.1396	0.2126	0.253	0.232
RXN_125	H2O[m]	0.2102	0.2591	0.2675	0.3166	0.1818	0.4445	0.216	0.3313	0.2591	0.2362	0.2726	0.2854	0.3094	0.2608	0.2009	0.19	0.2007	0.1727	0.3216	0.2389	0.3258	0.3359	0.2825	0.2062	0.137	0.2745	0.3288	0.3093	0.2203	0.2159	0.2767	0.2638	0.1639	0.2124	0.2298	0.2664	0.2959	0.2524	0.2749	0.2797	0.2521	0.2608	0.3081	0.3151	0.305	0.2711	0.3343	0.226	0.2353	0.2526	0.1978	0.1487	0.3127	0.2852	0.2671	0.1172	0.1819	0.2032	0.2303	0.1461	0.2071	0.1658	0.1796	0.185	0.1887	0.2013	0.1849	0.238	0.3857	0.1395	0.2442	0.2191	0.1425	0.3753	0.1395	0.329	0.3027	0.1815	0.1993	0.2674	0.0938	0.1757	0.2499	0.175	0.2029	0.2525	0.234	0.3	0.328	0.3304	0.207	0.2426	0.2719	0.1562	0.2794	0.2238	0.1568	0.2377	0.169	0.2512	0.247	0.1396	0.2126	0.253	0.232
GSSG[m]	RXN_126	0.2614	0.42	0.3056	0.2798	0.1172	0.2708	0.5794	0.3094	0.3365	0.2254	0.6512	0.567	0.3683	0.1455	0.1926	0.6076	0.2886	0.7487	0.3194	0.2121	0.2301	0.1958	0.4105	0.189	0.6696	0.6018	0.252	0.5125	0.0541	0.1953	0.3838	0.3353	0.2354	0.2752	0.243	0.3478	0.2537	0.3277	0.483	0.147	0.322	0.4014	0.5229	0.4776	0.1019	0.4231	0.2293	0.328	0.5011	0.0564	0.8693	0.1871	0.5764	0.2893	0.3772	0.1472	0.4404	0.2375	0.1828	0.2167	1	0.1274	0.2102	0.3127	0.2134	0.3724	0.1333	0.5967	0.1072	0.3163	0.1199	0.2546	0.2376	0.2189	0.3208	0.8195	0.336	0.2095	0.1982	0.1709	0.1435	0.5441	0.2867	0.1633	0.343	0.06	0.1378	0.716	0.0395	0.5631	0.4366	0.1739	0.2926	0.144	0.1563	0.3938	0.3659	0.8902	0.4187	0.3786	0.315	0.6043	0.2028	0.4925	0.2416
H[m]	RXN_126	0.2614	0.42	0.3056	0.2798	0.1172	0.2708	0.5794	0.3094	0.3365	0.2254	0.6512	0.567	0.3683	0.1455	0.1926	0.6076	0.2886	0.7487	0.3194	0.2121	0.2301	0.1958	0.4105	0.189	0.6696	0.6018	0.252	0.5125	0.0541	0.1953	0.3838	0.3353	0.2354	0.2752	0.243	0.3478	0.2537	0.3277	0.483	0.147	0.322	0.4014	0.5229	0.4776	0.1019	0.4231	0.2293	0.328	0.5011	0.0564	0.8693	0.1871	0.5764	0.2893	0.3772	0.1472	0.4404	0.2375	0.1828	0.2167	1	0.1274	0.2102	0.3127	0.2134	0.3724	0.1333	0.5967	0.1072	0.3163	0.1199	0.2546	0.2376	0.2189	0.3208	0.8195	0.336	0.2095	0.1982	0.1709	0.1435	0.5441	0.2867	0.1633	0.343	0.06	0.1378	0.716	0.0395	0.5631	0.4366	0.1739	0.2926	0.144	0.1563	0.3938	0.3659	0.8902	0.4187	0.3786	0.315	0.6043	0.2028	0.4925	0.2416
NADH[m]	RXN_126	0.2614	0.42	0.3056	0.2798	0.1172	0.2708	0.5794	0.3094	0.3365	0.2254	0.6512	0.567	0.3683	0.1455	0.1926	0.6076	0.2886	0.7487	0.3194	0.2121	0.2301	0.1958	0.4105	0.189	0.6696	0.6018	0.252	0.5125	0.0541	0.1953	0.3838	0.3353	0.2354	0.2752	0.243	0.3478	0.2537	0.3277	0.483	0.147	0.322	0.4014	0.5229	0.4776	0.1019	0.4231	0.2293	0.328	0.5011	0.0564	0.8693	0.1871	0.5764	0.2893	0.3772	0.1472	0.4404	0.2375	0.1828	0.2167	1	0.1274	0.2102	0.3127	0.2134	0.3724	0.1333	0.5967	0.1072	0.3163	0.1199	0.2546	0.2376	0.2189	0.3208	0.8195	0.336	0.2095	0.1982	0.1709	0.1435	0.5441	0.2867	0.1633	0.343	0.06	0.1378	0.716	0.0395	0.5631	0.4366	0.1739	0.2926	0.144	0.1563	0.3938	0.3659	0.8902	0.4187	0.3786	0.315	0.6043	0.2028	0.4925	0.2416
RXN_126	NAD[m]	0.2614	0.42	0.3056	0.2798	0.1172	0.2708	0.5794	0.3094	0.3365	0.2254	0.6512	0.567	0.3683	0.1455	0.1926	0.6076	0.2886	0.7487	0.3194	0.2121	0.2301	0.1958	0.4105	0.189	0.6696	0.6018	0.252	0.5125	0.0541	0.1953	0.3838	0.3353	0.2354	0.2752	0.243	0.3478	0.2537	0.3277	0.483	0.147	0.322	0.4014	0.5229	0.4776	0.1019	0.4231	0.2293	0.328	0.5011	0.0564	0.8693	0.1871	0.5764	0.2893	0.3772	0.1472	0.4404	0.2375	0.1828	0.2167	1	0.1274	0.2102	0.3127	0.2134	0.3724	0.1333	0.5967	0.1072	0.3163	0.1199	0.2546	0.2376	0.2189	0.3208	0.8195	0.336	0.2095	0.1982	0.1709	0.1435	0.5441	0.2867	0.1633	0.343	0.06	0.1378	0.716	0.0395	0.5631	0.4366	0.1739	0.2926	0.144	0.1563	0.3938	0.3659	0.8902	0.4187	0.3786	0.315	0.6043	0.2028	0.4925	0.2416
RXN_126	GSH[m]	0.2614	0.42	0.3056	0.2798	0.1172	0.2708	0.5794	0.3094	0.3365	0.2254	0.6512	0.567	0.3683	0.1455	0.1926	0.6076	0.2886	0.7487	0.3194	0.2121	0.2301	0.1958	0.4105	0.189	0.6696	0.6018	0.252	0.5125	0.0541	0.1953	0.3838	0.3353	0.2354	0.2752	0.243	0.3478	0.2537	0.3277	0.483	0.147	0.322	0.4014	0.5229	0.4776	0.1019	0.4231	0.2293	0.328	0.5011	0.0564	0.8693	0.1871	0.5764	0.2893	0.3772	0.1472	0.4404	0.2375	0.1828	0.2167	1	0.1274	0.2102	0.3127	0.2134	0.3724	0.1333	0.5967	0.1072	0.3163	0.1199	0.2546	0.2376	0.2189	0.3208	0.8195	0.336	0.2095	0.1982	0.1709	0.1435	0.5441	0.2867	0.1633	0.343	0.06	0.1378	0.716	0.0395	0.5631	0.4366	0.1739	0.2926	0.144	0.1563	0.3938	0.3659	0.8902	0.4187	0.3786	0.315	0.6043	0.2028	0.4925	0.2416
GSSG[m]	RXN_127	0.2614	0.42	0.3056	0.2798	0.1172	0.2708	0.5794	0.3094	0.3365	0.2254	0.6512	0.567	0.3683	0.1455	0.1926	0.6076	0.2886	0.7487	0.3194	0.2121	0.2301	0.1958	0.4105	0.189	0.6696	0.6018	0.252	0.5125	0.0541	0.1953	0.3838	0.3353	0.2354	0.2752	0.243	0.3478	0.2537	0.3277	0.483	0.147	0.322	0.4014	0.5229	0.4776	0.1019	0.4231	0.2293	0.328	0.5011	0.0564	0.8693	0.1871	0.5764	0.2893	0.3772	0.1472	0.4404	0.2375	0.1828	0.2167	1	0.1274	0.2102	0.3127	0.2134	0.3724	0.1333	0.5967	0.1072	0.3163	0.1199	0.2546	0.2376	0.2189	0.3208	0.8195	0.336	0.2095	0.1982	0.1709	0.1435	0.5441	0.2867	0.1633	0.343	0.06	0.1378	0.716	0.0395	0.5631	0.4366	0.1739	0.2926	0.144	0.1563	0.3938	0.3659	0.8902	0.4187	0.3786	0.315	0.6043	0.2028	0.4925	0.2416
H[m]	RXN_127	0.2614	0.42	0.3056	0.2798	0.1172	0.2708	0.5794	0.3094	0.3365	0.2254	0.6512	0.567	0.3683	0.1455	0.1926	0.6076	0.2886	0.7487	0.3194	0.2121	0.2301	0.1958	0.4105	0.189	0.6696	0.6018	0.252	0.5125	0.0541	0.1953	0.3838	0.3353	0.2354	0.2752	0.243	0.3478	0.2537	0.3277	0.483	0.147	0.322	0.4014	0.5229	0.4776	0.1019	0.4231	0.2293	0.328	0.5011	0.0564	0.8693	0.1871	0.5764	0.2893	0.3772	0.1472	0.4404	0.2375	0.1828	0.2167	1	0.1274	0.2102	0.3127	0.2134	0.3724	0.1333	0.5967	0.1072	0.3163	0.1199	0.2546	0.2376	0.2189	0.3208	0.8195	0.336	0.2095	0.1982	0.1709	0.1435	0.5441	0.2867	0.1633	0.343	0.06	0.1378	0.716	0.0395	0.5631	0.4366	0.1739	0.2926	0.144	0.1563	0.3938	0.3659	0.8902	0.4187	0.3786	0.315	0.6043	0.2028	0.4925	0.2416
